common_family,common_name,hawaii_name,science_family,species,sex,hermaph,TL_TO_FL,LINF_TL,TL_TO_SL,LINF_SL,Linf_FL,Linf_FL_in,K,t0,LMAT_SL,LMAT_TL,LMAT_FL,Lm_in,LONG,LW_A,LW_B,L50,L95,M,M/K,SL50,SL95,SPR,BinWidth,CurrentLc_mm,CurrentLc_in,CurrentLc_in_label,Nadon_F,Nadon_F/M,SPR_Nadon,Source (if not Access database),Notes,Assigned to research (ie male v female),Male v Female,Kaʻūpūlehu Species,Hawaiian Name,Common Name,Scientific Name,Length at Maturity,Mean Maximum Length,Current Minimum Size Limit (DAR Regulation)
Surgeonfishes,Ringtail Surgeonfish,Pualu,Acanthuridae,Acanthurus blochii,,FALSE,0.93,,0.76,276,337.7368421,13,0.2500,-0.3800,210,,256.9736842,10,35,0.025060,3.031930,257,258,0.09,0.367871523,257,258,0.4,5,,,,0.27,2.935807566,0.16,,,Bill,,Pualu - Acanthurus blochii - Ringtail Surgeonfish,Pualu,Ringtail Surgeonfish,Acanthurus blochii,10 in,13 in,
Surgeonfishes,Eyestriped Surgeonfish,Palani,Acanthuridae,Acanthurus dussumieri,,FALSE,1,,0.83,308,371.0843373,15,0.2960,-0.2900,234,,281.9277108,11,28,0.025100,3.032000,282,283,0.11,0.388377875,282,283,0.4,5,,,,0.18,1.565764035,0.32,,,Bill,,Palani - Acanthurus dussumieri - Eyestriped Surgeonfish,Palani,Eyestriped Surgeonfish,Acanthurus dussumieri,11 in,15 in,
Surgeonfishes,Convict Tang,Manini,Acanthuridae,Acanthurus triostegus sandvicensis,female,FALSE,0.87,203,0.97,,176.61,7,1.4308,0.0511,,,156,6,,0.083060,2.569680,156,157,0.97,0.677898987,156,157,0.4,5,127,5,5  inches,,,,Schemmel & Friedlander 2016,Schemmel & Friedlander 2016 = No differences between female and male size were found in North Kona. Manini in North Kona were on average 0.88 cm larger than North Kauai and 0.77 cm larger than Maunalua. Longenecker 2008 (Access) = same vonBertalanffy curve used for male and female,,,Manini - Acanthurus triostegus sandvicensis - Convict Tang,Manini,Convict Tang,Acanthurus triostegus sandvicensis,6 in,7 in,5 in
Surgeonfishes,Yellowfin Surgeonfish,Pualu,Acanthuridae,Acanthurus xanthopterus,,FALSE,0.87,,0.74,426,500.8378378,20,0.2870,-0.2100,367,,431.472973,17,34,0.026730,2.984490,431,432,0.09,0.329870447,431,432,0.4,5,,,,,0,,,,Bill,,Pualu - Acanthurus xanthopterus - Yellowfin Surgeonfish,Pualu,Yellowfin Surgeonfish,Acanthurus xanthopterus,17 in,20 in,
Surgeonfishes,Goldring Surgeonfish,Kole,Acanthuridae,Ctenochaetus strigosus,,FALSE,0.94,,,145.2,177.50476,7,0.4230,-0.5100,,89,83.9984,3,39,0.002200,3.000000,84,85,0.08,0.195118859,84,85,0.4,5,,,,,0,,Winston et al 2017,,,,Kole - Ctenochaetus strigosus - Goldring Surgeonfish,Kole,Goldring Surgeonfish,Ctenochaetus strigosus,3 in,7 in,
Surgeonfishes,Goldring Surgeonfish,Kole,Acanthuridae,Ctenochaetus strigosus - female,female,FALSE,0.94,,,,114.64,5,0.6553,-1.2811,,,84,3,18,0.002200,3.000000,84,85,0.18,0.272894134,84,85,0.4,5,,,,,0,,Access (Langston 2009),,,,Kole - Ctenochaetus strigosus - Goldring Surgeonfish (female),Kole,Goldring Surgeonfish,Ctenochaetus strigosus - female,3 in,5 in,
Surgeonfishes,Goldring Surgeonfish,Kole,Acanthuridae,Ctenochaetus strigosus - male,male,FALSE,0.94,,,,145.95,6,0.5099,-1.0542,,,100,4,18,0.002200,3.000000,100,101,0.18,0.350711586,100,101,0.4,5,,,,,0,,Access (Langston 2009),,,,Kole - Ctenochaetus strigosus - Goldring Surgeonfish (male),Kole,Goldring Surgeonfish,Ctenochaetus strigosus - male,4 in ,6 in,
Surgeonfishes,Paletail Unicornfish,Kala Lolo,Acanthuridae,Naso brevirostris,,FALSE,1,,0.93,304,326.8817204,13,0.4020,-0.2100,250,,268.8172043,11,25,0.010650,3.242970,269,270,0.13,0.320286152,269,270,0.4,5,0,,,0.11,0.854335535,0.45,,,Erin,N/A,Kala Lolo - Naso brevirostris - Paletail Unicornfish,Kala Lolo,Paletail Unicornfish,Naso brevirostris,11 in,13 in,
Surgeonfishes,Sleek Unicornfish,‘Ōpelu kala,Acanthuridae,Naso hexacanthus,,FALSE,1,,0.88,527,598.8636364,24,0.2210,-0.2200,450,,511.3636364,20,44,0.042400,2.854000,511,512,0.07,0.33102384,511,512,0.4,5,406.4,16,16 inches,0.13,1.777017913,0.23,,,Erin,N/A,‘Ōpelu kala - Naso hexacanthus - Sleek Unicornfish,‘Ōpelu kala,Sleek Unicornfish,Naso hexacanthus,20 in,24 in,16 in
Surgeonfishes,Orangespine Unicornfish,Umauma lei,Acanthuridae,Naso lituratus,,FALSE,1,,,,256,10,0.3408,-0.6600,,,199,8,25,0.049700,2.839000,199,200,0.13,0.377802327,199,200,0.4,5,,,,0.21,1.631004203,0.3,,,Erin,N/A,Umauma lei - Naso lituratus - Orangespine Unicornfish,Umauma lei,Orangespine Unicornfish,Naso lituratus,8 in,10 in ,
Surgeonfishes,Bluespine Unicornfish,Kala,Acanthuridae,Naso unicornis - male,male,FALSE,1,,0.94,,476,19,0.4600,-0.1100,,,301,12,50,0.017880,3.035450,301,302,0.06,0.139951123,301,302,0.4,5,355.6,14,14 inches,0.25,3.883343341,0.08,Access (Andrews 2016),,,was combined in Access - used larger female parameters,Kala - Naso unicornis - Bluespine Unicornfish (male),Kala,Bluespine Unicornfish,Naso unicornis - male,12 in ,19 in,14 in
Surgeonfishes,Bluespine Unicornfish,Kala,Acanthuridae,Naso unicornis - female,female,FALSE,1,,0.94,,480,19,0.4300,-0.1400,,,355,14,50,0.017880,3.035450,355,356,0.06,0.149715155,355,356,0.4,5,355.6,14,14 inches,0.25,3.883343341,0.08,Access (Andrews 2016),,,was combined in Access - used larger female parameters,Kala - Naso unicornis - Bluespine Unicornfish (female),Kala,Bluespine Unicornfish,Naso unicornis - female,14 in ,19 in,14 in
Bonefishes,Shortjaw Bonefish,‘Ō'io,Albulidae,Albula glossodonta,,FALSE,,,,,673,26,0.1800,-0.6800,,,424,17,14,0.010000,3.040000,424,425,0.23,1.277331677,424,425,0.4,5,355.6,14,14 inches,,,,Donovan et al 2015,Linf and LMAT are in Fork Length,,,‘Ō'io - Albula glossodonta - Shortjaw Bonefish,‘Ō'io,Shortjaw Bonefish,Albula glossodonta,17 in,26 in,14 in
Bonefishes,Longjaw Bonefish,‘Ō'io,Albulidae,Albula virgata,,FALSE,,,,,564,22,0.2600,-0.4900,,,432,17,11,0.010000,3.020000,432,433,0.29,1.125481058,432,433,0.4,5,,,,,,,Donovan et al 2015,Linf and LMAT are in Fork Length,,,‘Ō'io - Albula virgata - Longjaw Bonefish,‘Ō'io,Longjaw Bonefish,Albula virgata,17 in ,22 in,
Jacks,Giant Trevally,Ulua aukea,Carangidae,Caranx ignobilis,,FALSE,0.92,,0.87,1838,1943.632184,77,0.1110,0.0970,700,,740.2298851,29,11,0.027300,2.913000,740,741,0.29,2.636261937,740,741,0.4,5,254,10,10 inches,0.3,1.025202642,0.21,,,Bill,,Ulua aukea - Caranx ignobilis - Giant Trevally,Ulua aukea,Giant Trevally,Caranx ignobilis,29 in ,77 in,10 in
Jacks,Black Trevally,Ulua lā’uli ,Carangidae,Caranx lugubris,,FALSE,0.94,,,,822,32,0.1200,0.0000,,,370,15,12,0.019800,3.001000,370,371,0.27,2.235330434,370,371,0.4,5,254,10,10 inches,,0,,,,Bill,,Ulua lā’uli  - Caranx lugubris - Black Trevally,Ulua lā’uli ,Black Trevally,Caranx lugubris,15 in ,32 in,10 in
